:113
Sam Weisman:400
Franco Zeffirelli:1173
Ivan Engler:1698
David Mirkin:597
Randy Moore:2169
King Vidor:1544
Mark Rosman:977
Scott Kalvert:1336
Richard Linklater:776
Cory Edwards:1019
Peter Cousens:1164
Gregory Poirier:1280
David F. Sandberg:1600
Jeff Wadlow:764
Julian Jarrold:1049
Todd Graff:772
Gnana Rajasekaran:973
Billy Ray:944
Francis Ford Coppola:420
William A. Fraker:1001
Guillaume Ivernel:1044
Amy Holden Jones:2187
Steve Gomer:1125
Lisa Cholodenko:1704
Tim Miller:391
Ole Bornedal:834
F. Gary Gray:273
Anthony O'Brien:1890
Damien Chazelle:1772
Dan Scanlon:26
Jacob Aaron Estes:2201
Charles Chaplin:1996
David O. Russell:363
William Kaufman:1573
Stanley Donen:1849
Shimit Amin:2061
Tony Maylam:1502
Martin Koolhoven:1576
Ward Roberts:2293
Steve Barron:824
Julie Davis:2352
Ramaa Mosley:2141
Mick Jackson:210
Phillip Noyce:120
Kevin Hamedani:2120
Henry Alex Rubin:2248
Jorma Taccone:1330
John Luessenhop:672
Daniel Sackheim:878
Victor Nunez:1839
Mike Flanagan:1607
Justin Paul Miller:2222
Oliver Parker:518
Ossie Davis:2048
Jay Chandrasekhar:426
Matt Piedmont:1552
David Nutter:1111
Sheldon Lettich:1057
Philip Saville:1283
Danny Steinmann:1877
Alex Ranarivelo:2017
Ol Parker:1474
Mora Stephens:1719
Forest Whitaker:695
David E. Talbert:1423
Douglas Cheek:2031
Ben Wheatley:2159
Kunihiko Yuyama:1788
Joe Swanberg:2204
Rowdy Herrington:1040
Stewart Raffill:1405
Jeremy Saulnier:1643
Bradley Rust Gray:2375
Tommy Oliver:2144
Ridley Scott:18
John Sturges:1705
Mark Griffiths:1736
Liz Friedlander:710
Mike Mayhall:1662
David Caffrey:2044
Kim Farrant:1372
Guillermo del Toro:37
Michael Corrente:1463
Khalid Mohamed:2085
Justin Lin:41
Derek Cianfrance:1112
Phil Lord:201
Andrew Erwin:1682
Ricki Stern:2310
Greg Berlanti:2082
Frank Lotito:2009
Paul Thomas Anderson:602
George Sidney:1741
Chris Shadley:1933
Chris Buck:82
Jean-Marc Vallée:645
Steve Miner:601
